Ethnicity,Race
Welsh,White
Arabic,White
Hebrew,White
Italian,White
Portuguese,White
Armenian,White
French,White
Irish,White
Kurdish,White
Thai,Asian
Japanese,Asian
Swedish,White
Serbian,White
German,White
Persian,White
Dutch ,White
Danish,White
Croatian,White
Ukrainian,White
Russian,White
Lithuanian,White
Albanian,White
Polish,White
Romanian,White
Spanish ,Hispanic
French ,White
Romanian ,White
Greek,White
Belarusian,White
Urdu,Asian
Abkhazian ,White
English ,White
spring,White
Danish ,White
Persian ,White
Latvian,White
Norman-French ,White
Swedish ,White
German ,White
Georgian,White
Serbian,White
Czech,White
Frigian,White
Dutch,White
Greek ,White
Macedonian,White
Spanish,Hispanic
Hungarian,White
Turkish ,White
Abkhaz ,White
Estonian,White
Anglo-Saxon ,White
Lithuanian ,White
"Adygean""old"" ",White
Adygean ,White
Kyrgyz,White
Finnish,White
Turkish,White
Italian ,White
Estonian ,White
Galician,White
Polish ,White
European,White
Russian ,White
Belarusian ,White
Indonesian ,Asian
Germanic,White
Norwegian ,White
Finnish ,White
Frisian ,White
Icelandic,White
Old Danish,White
Latin ,White
Indian ,Asian
Kurdish ,Asian
Chinese,Asian