suffix,ethnicity
ac,Croatian
ach,Ukrainian
aei,Persian
ago,Russian
aitis,Lithuanian
aj,Albanian
ak,Polish
an,Ukrainian
an,Romanian
͍n,Spanish 
and,French
ange,French 
ano,Italian
anu,Romanian 
ard,French 
arz,Polish
kas,Greek
tras,Greek
au,Belarusian
auskas,Belarusian
awan,Urdu
ba,Abkhazian 
baum,German
beck,Swedish
berg,German
bergen,Dutch 
bert,Dutch 
bois,French 
borough,English 
bourg,French 
brook,English 
brun,spring
burg,German
by,Danish 
chian,Persian 
chek,Ukrainian
ckas,Lithuanian
cki,Polish
ckis,Latvian
cotte,Norman-French 
court,French 
dal,Danish 
dale,English 
dalle,Norman-French 
datter,Danish 
din,Swedish 
don,English 
dun,French 
dorf,German 
dotter,Swedish 
dze,Georgian
dzki,Polish
eanu,Romanian
ec,Serbian
eff,Russian
eiro,Portuguese
ek,Czech
ell,English 
ema,Frigian
ems,Dutch
enko,Ukrainian
ens,Dutch
ent,French
enya,Belarusian
er,Dutch 
ero,Spanish 
ers,Dutch
ese,Italian
escu,Romanian
et,French 
ets,Ukrainian
eu,Belarusian
ev,Russian
evski,Macedonian
ez,Spanish
fia,Hungarian
ford,English 
fors,Swedish 
fort,French 
garth,English 
gate,English 
gren,Swedish 
haar,Dutch 
han,Turkish 
holm,Swedish 
i,Arabic
ia,Abkhaz 
iants,Armenian
iak,Ukrainian
ich,Belarusian
ier,French 
ik,Belarusian
ik,Estonian
ikh,Russian
in,Russian
in,French 
in,Dutch 
ing,Anglo-Saxon 
ipa,Abkhazian 
ipha,Abkhazian 
is,Lithuanian
ishin,Ukrainian
iu,Romanian
ius,Lithuanian 
iv,Ukrainian
j,"Adygean""old"" "
ka,Belarusian
kin,Dutch 
ko,Ukrainian
ko,Adygean 
kus,Lithuanian 
kvist,Swedish 
kyzy,Kyrgyz
la,Finnish
li,Turkish
li,Italian 
lin,French 
litz,German 
lund,Swedish 
maa,Estonian 
man,Dutch 
man,Dutch 
mann,German 
mand,Persian 
maz,Turkish 
ment,French 
mets,Estonian 
nen,Finnish
nik,Estonian 
nova,Galician
novo,Galician
ny,Polish 
nyi,Hungarian
o,European
off,Russian 
ok,Belarusian 
on,French 
onak,Belarusian
onis,Lithuanian 
tos,Greek 
ot,French 
ots,Estonian 
out,French 
ou,Greek
ou,Belarusian
ouf,French 
ouf,French 
oui,French 
ov,Russian
ovo,Russian 
ovski,Macedonian
ow,Russian
pour,French
putra,Indonesian 
putri,Indonesian 
puu,Estonian 
quetil,Norman-French 
quin,European
quist,Germanic
ridge,European
rud,Norwegian 
saar,Estonian 
saari,Finnish 
salu,Estonian 
sen,Danish
shvili,Georgian
skas,Lithuanian
ski,Polish
skiy,Ukrainian
skog,Swedish 
skoy,Russian
skis,Latvian
sma,Frisian 
son,Icelandic
sson,French 
stad,Norwegian 
stein,Dutch 
sten,Norwegian 
stern,German 
tabar,Persian 
thwait,Old Danish
toft,English 
tuit,Norman-French 
uk,Ukrainian
ulea,Romanian 
ulis,Lithuanian
uulu,Kyrgyz
us,Latin 
velt,Dutch 
verde,Spanish 
vich,Belarusian
ville,French 
wala,Indian 
wan,Indonesian 
wati,Indonesian 
well,English 
white,European
wi,Arabic
wood,English 
worth,English 
wright,English 
ycz,Polish
yk,Belarusian
ynas,Lithuanian
ysz,Polish 
za,Kurdish 
zadeh,Persian
zadegan,Persian 
shi,Japanese
ang,Chinese
hang,Chinese
iao,Chinese
kos,Greek
ros,Greek
ilos,Greek
los,Greek
mos,Greek
jas,Spanish
eros,Spanish
anos,Spanish
nes,Spanish
stas,Greek
stos,Greek
wicz,Polish