bietenholz,(0, (0.780952380952381, 'benitez'), [3.2901763916015625e-05, 0.016062021255493164, 5.602836608886719e-05]),(0, (0.8111111111111112, 'beitel'), [0, 0.028367996215820312, 0])
kurapathi,(0, (0.7518518518518519, 'kraut'), [1.9788742065429688e-05, 0.005482196807861328, 4.696846008300781e-05]),(0, (0.8518518518518517, 'kurth'), [0, 0.028576135635375977, 0])
nehoray,(0, (0.8214285714285715, 'neyhart'), [1.5020370483398438e-05, 0.006483793258666992, 4.100799560546875e-05]),(0, (0.8571428571428571, 'hora'), [0, 0.026254892349243164, 0])
abgar,(1, (0.9333333333333332, 'agar'), [1.0967254638671875e-05, 0.0032379627227783203, 3.695487976074219e-05]),(1, (0.9333333333333332, 'agar'), [0, 0.021384000778198242, 0])
plinko,(0, (0.888888888888889, 'polino'), [1.0013580322265625e-05, 0.00492095947265625, 3.504753112792969e-05]),(0, (0.888888888888889, 'polino'), [0, 0.02271103858947754, 0])
thegley,(0, (0.8492063492063492, 'tetley'), [1.0013580322265625e-05, 0.007642984390258789, 6.604194641113281e-05]),(1, (0.9047619047619048, 'egley'), [0, 0.027729034423828125, 0])
barteld,(1, (0.9047619047619048, 'bartold'), [2.6941299438476562e-05, 0.027357101440429688, 4.696846008300781e-05]),(1, (0.9523809523809524, 'bartel'), [0, 0.02556610107421875, 0])
benrezouk,(0, (0.7296296296296295, 'denzer'), [1.6927719116210938e-05, 0.0019719600677490234, 5.3882598876953125e-05]),(0, (0.8148148148148149, 'bene'), [0, 0.03016519546508789, 0])
silzia,(0, (0.888888888888889, 'silvia'), [1.4781951904296875e-05, 0.00452113151550293, 4.1961669921875e-05]),(0, (0.888888888888889, 'silvia'), [0, 0.028955936431884766, 0])
deleon olufemi,(0, (0.6634920634920636, 'demelo'), [1.5020370483398438e-05, 0.015028953552246094, 5.412101745605469e-05]),(0, (0.8095238095238096, 'deleon'), [0, 0.03295779228210449, 0])
graveney,(1, (0.9107142857142857, 'greaney'), [1.71661376953125e-05, 0.008913040161132812, 4.220008850097656e-05]),(1, (0.9166666666666666, 'graven'), [0, 0.031195878982543945, 0])
ilyon,(0, (0.8666666666666667, 'lyn'), [1.1920928955078125e-05, 0.005292177200317383, 3.886222839355469e-05]),(1, (0.9333333333333332, 'lyon'), [0, 0.02458500862121582, 0])
rajarathnam,(0, (0.7678872053872053, 'jayaraman'), [1.4066696166992188e-05, 0.01503610610961914, 6.008148193359375e-05]),(0, (0.787878787878788, 'raja'), [0, 0.030179977416992188, 0])
schmorak,(0, (0.8690476190476191, 'schrank'), [1.8835067749023438e-05, 0.005629062652587891, 4.506111145019531e-05]),(1, (0.9166666666666666, 'schork'), [0, 0.028589963912963867, 0])
zaffino,(1, (1.0, 'zaffino'), [1.3828277587890625e-05, 0.0008461475372314453, 4.410743713378906e-05]),(1, (1.0, 'zaffino'), [0, 0.02750396728515625, 0])
elambilan,(0, (0.8306878306878307, 'alleman'), [1.4066696166992188e-05, 0.010139942169189453, 4.100799560546875e-05]),(0, (0.8888888888888888, 'elamin'), [0, 0.027977943420410156, 0])
honavar,(1, (0.9047619047619048, 'navar'), [1.3113021850585938e-05, 0.01878190040588379, 5.1975250244140625e-05]),(1, (0.9047619047619048, 'navar'), [0, 0.0278170108795166, 0])
rigney-betz,(0, (0.6897546897546897, 'negrete'), [1.7881393432617188e-05, 0.008871078491210938, 3.981590270996094e-05]),(0, (0.8484848484848485, 'rigney'), [0, 0.029202938079833984, 0])
silot,(1, (0.9047619047619048, 'silcott'), [1.0967254638671875e-05, 0.004082918167114258, 3.814697265625e-05]),(1, (0.9047619047619048, 'silcott'), [0, 0.02157282829284668, 0])
davemore,(1, (0.9166666666666666, 'demore'), [1.1920928955078125e-05, 0.028014183044433594, 5.5789947509765625e-05]),(1, (0.9166666666666666, 'demore'), [0, 0.029516935348510742, 0])
growald,(0, (0.8380952380952381, 'goral'), [1.6927719116210938e-05, 0.011126041412353516, 4.601478576660156e-05]),(0, (0.8690476190476191, 'gottwald'), [0, 0.027524948120117188, 0])
keracik,(0, (0.8492063492063493, 'kerrick'), [1.5020370483398438e-05, 0.009072065353393555, 3.886222839355469e-05]),(1, (0.9047619047619048, 'krack'), [0, 0.028182029724121094, 0])
kring,(1, (1.0, 'kring'), [1.0013580322265625e-05, 0.005009889602661133, 3.600120544433594e-05]),(1, (1.0, 'kring'), [0, 0.02191615104675293, 0])
milbauer,(0, (0.875, 'lauer'), [1.1920928955078125e-05, 0.007807016372680664, 4.9114227294921875e-05]),(0, (0.875, 'bauer'), [0, 0.026607990264892578, 0])
mudoga,(0, (0.8055555555555555, 'moua'), [1.3828277587890625e-05, 0.002657175064086914, 7.295608520507812e-05]),(0, (0.8888888888888888, 'moga'), [0, 0.024302959442138672, 0])
restini,(0, (0.8869047619047619, 'tersigni'), [1.621246337890625e-05, 0.006681919097900391, 4.1961669921875e-05]),(0, (0.8869047619047619, 'tersigni'), [0, 0.02478480339050293, 0])
hahathaway,(0, (0.8291666666666666, 'hathaway'), [1.5020370483398438e-05, 0.010422945022583008, 6.318092346191406e-05]),(0, (0.8291666666666666, 'hathaway'), [0, 0.028389930725097656, 0])
conn-lly,(1, (0.9166666666666666, 'connolly'), [1.4066696166992188e-05, 0.005300045013427734, 4.00543212890625e-05]),(1, (0.9166666666666666, 'connally'), [0, 0.024578094482421875, 0])
feciuch,(0, (0.8095238095238096, 'eckrich'), [1.1920928955078125e-05, 0.002991914749145508, 3.600120544433594e-05]),(0, (0.8214285714285715, 'piecuch'), [0, 0.026823997497558594, 0])
koptula,(0, (0.8047619047619049, 'polka'), [1.0967254638671875e-05, 0.015312910079956055, 3.981590270996094e-05]),(1, (0.9523809523809524, 'kotula'), [0, 0.02637314796447754, 0])
lunazelaya,(0, (0.8111111111111112, 'lanuza'), [1.4066696166992188e-05, 0.010812044143676758, 4.291534423828125e-05]),(0, (0.8111111111111112, 'lanuza'), [0, 0.026543140411376953, 0])
mingolleli,(0, (0.8555555555555555, 'molinelli'), [1.3828277587890625e-05, 0.011019229888916016, 6.580352783203125e-05]),(0, (0.8666666666666667, 'mingle'), [0, 0.029232025146484375, 0])
saliaris,(0, (0.8690476190476191, 'salinas'), [2.002716064453125e-05, 0.009061098098754883, 5.3882598876953125e-05]),(0, (0.875, 'salas'), [0, 0.026087045669555664, 0])
alzobaidi,(0, (0.8042328042328042, 'garibaldi'), [1.4066696166992188e-05, 0.011327981948852539, 5.1021575927734375e-05]),(0, (0.8148148148148149, 'alba'), [0, 0.027718782424926758, 0])
beckham-taylor,(0, (0.7784391534391535, 'batchelor'), [2.002716064453125e-05, 0.032898902893066406, 4.696846008300781e-05]),(0, (0.8333333333333334, 'beckham'), [0, 0.029013872146606445, 0])
earngey,(0, (0.8809523809523809, 'greaney'), [1.5020370483398438e-05, 0.0024309158325195312, 3.504753112792969e-05]),(1, (0.9523809523809524, 'earney'), [0, 0.024708032608032227, 0])
horecho,(1, (0.9047619047619048, 'horch'), [1.0967254638671875e-05, 0.001569986343383789, 3.695487976074219e-05]),(1, (0.9047619047619048, 'horch'), [0, 0.02602982521057129, 0])
linendo,(0, (0.8690476190476191, 'lindon'), [1.0013580322265625e-05, 0.00362396240234375, 3.695487976074219e-05]),(1, (0.9047619047619048, 'linen'), [0, 0.025524139404296875, 0])
parshey,(1, (0.9047619047619048, 'parsley'), [1.0013580322265625e-05, 0.0067980289459228516, 4.100799560546875e-05]),(1, (0.9047619047619048, 'parsley'), [0, 0.027436017990112305, 0])
savage-ibrah,(0, (0.8333333333333334, 'savage'), [1.4066696166992188e-05, 0.01984405517578125, 4.601478576660156e-05]),(0, (0.8333333333333334, 'savage'), [0, 0.02676701545715332, 0])
slatterbeck,(0, (0.8927738927738927, 'schlotterbeck'), [1.5020370483398438e-05, 0.024299144744873047, 5.0067901611328125e-05]),(0, (0.8927738927738927, 'schlotterbeck'), [0, 0.029747962951660156, 0])
engene,(1, (0.9444444444444445, 'engen'), [1.4066696166992188e-05, 0.00601506233215332, 4.696846008300781e-05]),(1, (0.9444444444444445, 'engen'), [0, 0.02383899688720703, 0])
galvis,(1, (1.0, 'galvis'), [1.3828277587890625e-05, 0.010632038116455078, 3.910064697265625e-05]),(1, (1.0, 'galvis'), [0, 0.023563861846923828, 0])
mapoy,(0, (0.8083333333333332, 'moya'), [1.0967254638671875e-05, 0.0037679672241210938, 3.504753112792969e-05]),(0, (0.8777777777777778, 'campoy'), [0, 0.020798921585083008, 0])
budzinack,(0, (0.8888888888888888, 'budzik'), [1.1920928955078125e-05, 0.0016460418701171875, 3.600120544433594e-05]),(0, (0.8888888888888888, 'budzik'), [0, 0.02794504165649414, 0])
kendapady,(0, (0.7777777777777777, 'kanady'), [1.0967254638671875e-05, 0.008400917053222656, 5.507469177246094e-05]),(0, (0.7962962962962963, 'kenagy'), [0, 0.027943849563598633, 0])
poormand,(1, (0.9583333333333334, 'poorman'), [1.71661376953125e-05, 0.03263282775878906, 4.792213439941406e-05]),(1, (0.9583333333333334, 'poorman'), [0, 0.02628803253173828, 0])
blint,(0, (0.8666666666666667, 'blixt'), [1.2874603271484375e-05, 0.0014469623565673828, 3.409385681152344e-05]),(1, (0.9444444444444445, 'balint'), [0, 0.021831989288330078, 0])
klaschen,(0, (0.8194444444444445, 'kachel'), [1.0967254638671875e-05, 0.0034258365631103516, 3.600120544433594e-05]),(1, (0.9166666666666666, 'klasen'), [0, 0.0261080265045166, 0])
manet,(0, (0.8777777777777778, 'mantle'), [1.0013580322265625e-05, 0.021091938018798828, 5.1975250244140625e-05]),(1, (0.9333333333333332, 'mane'), [0, 0.023765087127685547, 0])
moran edelen,(0, (0.7888888888888891, 'vandermeulen'), [2.002716064453125e-05, 0.03411293029785156, 4.982948303222656e-05]),(0, (0.8333333333333334, 'morand'), [0, 0.03145194053649902, 0])
nalenz,(0, (0.8777777777777778, 'nanez'), [1.3828277587890625e-05, 0.015679121017456055, 5.507469177246094e-05]),(0, (0.8888888888888888, 'alen'), [0, 0.025241851806640625, 0])
cappai,(1, (0.9444444444444445, 'cappa'), [1.71661376953125e-05, 0.007308006286621094, 4.887580871582031e-05]),(1, (0.9444444444444445, 'cappa'), [0, 0.022342920303344727, 0])
croyder,(1, (0.9523809523809524, 'cryder'), [1.621246337890625e-05, 0.007118940353393555, 5.3882598876953125e-05]),(1, (0.9523809523809524, 'cryder'), [0, 0.025916099548339844, 0])
dao-woodman,(0, (0.7929292929292929, 'dawood'), [2.002716064453125e-05, 0.012902975082397461, 5.507469177246094e-05]),(0, (0.7929292929292929, 'dawood'), [0, 0.02802586555480957, 0])
ezerniece,(0, (0.75, 'eberlein'), [1.71661376953125e-05, 0.006523847579956055, 4.506111145019531e-05]),(0, (0.8055555555555555, 'ezernack'), [0, 0.029779911041259766, 0])
preshia,(0, (0.7936507936507936, 'pietras'), [1.1920928955078125e-05, 0.012290000915527344, 3.910064697265625e-05]),(1, (0.9047619047619048, 'prestia'), [0, 0.027868986129760742, 0])
puius,(0, (0.7999999999999999, 'pu'), [1.0013580322265625e-05, 0.0028009414672851562, 3.504753112792969e-05]),(0, (0.8666666666666667, 'pulis'), [0, 0.024419784545898438, 0])
rostas,(0, (0.888888888888889, 'costas'), [1.0013580322265625e-05, 0.016303062438964844, 5.0067901611328125e-05]),(1, (0.9444444444444445, 'rosas'), [0, 0.024956941604614258, 0])
gerbman,(1, (0.9523809523809524, 'bergman'), [1.5974044799804688e-05, 0.020111083984375, 4.506111145019531e-05]),(1, (0.9523809523809524, 'bergman'), [0, 0.028509140014648438, 0])
gilfriche,(0, (0.7962962962962963, 'eirich'), [1.5020370483398438e-05, 0.004271030426025391, 3.910064697265625e-05]),(0, (0.8055555555555555, 'filice'), [0, 0.026448965072631836, 0])
hilvering,(0, (0.8587962962962963, 'vierling'), [1.1205673217773438e-05, 0.006500959396362305, 5.91278076171875e-05]),(0, (0.8587962962962963, 'vierling'), [0, 0.027185916900634766, 0])
malhus,(0, (0.888888888888889, 'mathus'), [1.0967254638671875e-05, 0.017562150955200195, 4.506111145019531e-05]),(1, (0.9166666666666666, 'malphrus'), [0, 0.023226022720336914, 0])
smith dantzler,(0, (0.7592592592592592, 'smithhart'), [1.811981201171875e-05, 0.01106405258178711, 4.601478576660156e-05]),(0, (0.7857142857142857, 'smith'), [0, 0.02994084358215332, 0])
zouharis,(0, (0.8194444444444445, 'hartis'), [1.5020370483398438e-05, 0.004041910171508789, 3.695487976074219e-05]),(0, (0.875, 'haris'), [0, 0.024747848510742188, 0])
farias-gonzalez,(0, (0.7805555555555556, 'saragoza'), [2.5033950805664062e-05, 0.005766153335571289, 3.886222839355469e-05]),(0, (0.7999999999999999, 'farago'), [0, 0.030092954635620117, 0])
katatae,(0, (0.8968253968253969, 'takata'), [1.0013580322265625e-05, 0.010360002517700195, 3.695487976074219e-05]),(0, (0.8968253968253969, 'takata'), [0, 0.024852991104125977, 0])
maronly,(0, (0.8492063492063493, 'mallory'), [1.1205673217773438e-05, 0.017904996871948242, 4.696846008300781e-05]),(1, (0.9047619047619048, 'manly'), [0, 0.027395009994506836, 0])
nieten,(0, (0.8222222222222223, 'teigen'), [1.4066696166992188e-05, 0.009660005569458008, 4.1961669921875e-05]),(0, (0.888888888888889, 'niesen'), [0, 0.022702932357788086, 0])
chepandova,(0, (0.7392857142857143, 'sachdeva'), [1.4066696166992188e-05, 0.03569197654724121, 4.696846008300781e-05]),(0, (0.8333333333333334, 'cando'), [0, 0.0273590087890625, 0])
coker-johnson,(0, (0.7092490842490843, 'cotroneo'), [1.9073486328125e-05, 0.006140947341918945, 4.00543212890625e-05]),(0, (0.7948717948717948, 'coker'), [0, 0.026713132858276367, 0])
hillerick,(0, (0.8796296296296297, 'hilliker'), [1.1920928955078125e-05, 0.01149296760559082, 5.2928924560546875e-05]),(0, (0.8888888888888888, 'hiller'), [0, 0.02768397331237793, 0])
timpona,(0, (0.7936507936507936, 'mitrano'), [1.5020370483398438e-05, 0.014028072357177734, 4.291534423828125e-05]),(1, (0.9047619047619048, 'timpone'), [0, 0.02740001678466797, 0])
caucin,(0, (0.8492063492063492, 'carucci'), [1.2159347534179688e-05, 0.005796909332275391, 5.1975250244140625e-05]),(0, (0.8888888888888888, 'cain'), [0, 0.02485489845275879, 0])
charusethakarn,(0, (0.7911255411255412, 'carstarphen'), [2.1219253540039062e-05, 0.04023385047912598, 9.894371032714844e-05]),(0, (0.8095238095238096, 'caruth'), [0, 0.03019881248474121, 0])
lee-villarreal,(0, (0.7784391534391535, 'delvillar'), [2.002716064453125e-05, 0.014780044555664062, 4.696846008300781e-05]),(0, (0.8154761904761904, 'leveille'), [0, 0.02624201774597168, 0])
mazza-costa,(0, (0.8181818181818182, 'mazzo'), [1.5020370483398438e-05, 0.004096031188964844, 3.695487976074219e-05]),(0, (0.8181818181818182, 'mazza'), [0, 0.029000043869018555, 0])
calwile,(0, (0.8492063492063493, 'callies'), [1.0967254638671875e-05, 0.012336969375610352, 5.507469177246094e-05]),(1, (0.9047619047619048, 'calle'), [0, 0.02628803253173828, 0])
kaushakis,(0, (0.8148148148148149, 'kash'), [1.8835067749023438e-05, 0.003966093063354492, 4.482269287109375e-05]),(0, (0.8412698412698413, 'kaschak'), [0, 0.029645919799804688, 0])
yizengaw,(0, (0.6944444444444443, 'hemingway'), [1.3113021850585938e-05, 0.0037398338317871094, 4.601478576660156e-05]),(0, (0.8333333333333334, 'huizenga'), [0, 0.02968907356262207, 0])
romanienko,(0, (0.8666666666666667, 'romani'), [1.5974044799804688e-05, 0.013299942016601562, 7.510185241699219e-05]),(1, (0.9, 'romanek'), [0, 0.029911041259765625, 0])
tercynski,(0, (0.7857142857142857, 'teneyck'), [2.8848648071289062e-05, 0.0023941993713378906, 5.1975250244140625e-05]),(0, (0.8518518518518517, 'raczynski'), [0, 0.027013063430786133, 0])
zaitman,(0, (0.7904761904761904, 'maita'), [1.3828277587890625e-05, 0.01250600814819336, 4.100799560546875e-05]),(1, (0.9047619047619048, 'waitman'), [0, 0.026452064514160156, 0])
yarkondunn,(0, (0.7380952380952381, 'vanduyn'), [1.4066696166992188e-05, 0.0034608840942382812, 3.790855407714844e-05]),(0, (0.7999999999999999, 'arko'), [0, 0.028326034545898438, 0])
figliome,(0, (0.8333333333333334, 'figiel'), [1.0967254638671875e-05, 0.004477024078369141, 4.220008850097656e-05]),(0, (0.8333333333333334, 'figiel'), [0, 0.0251619815826416, 0])
oohn,(0, (0.875, 'hoon'), [1.0013580322265625e-05, 0.0057871341705322266, 3.910064697265625e-05]),(0, (0.875, 'hoon'), [0, 0.021678924560546875, 0])
uttendorfsky,(0, (0.75, 'dutter'), [1.4781951904296875e-05, 0.006876230239868164, 3.814697265625e-05]),(0, (0.8222222222222223, 'mittendorf'), [0, 0.02841496467590332, 0])
cateno,(1, (0.9444444444444445, 'catone'), [1.0013580322265625e-05, 0.01200103759765625, 4.601478576660156e-05]),(1, (0.9444444444444445, 'catone'), [0, 0.025429964065551758, 0])
igwegbe-okosi,(0, (0.6886816886816888, 'golebiewski'), [1.9073486328125e-05, 0.0026438236236572266, 5.1021575927734375e-05]),(0, (0.7435897435897436, 'ige'), [0, 0.026133060455322266, 0])
mokover,(0, (0.8492063492063493, 'volkmer'), [1.3113021850585938e-05, 0.014787912368774414, 4.291534423828125e-05]),(0, (0.8690476190476191, 'bockover'), [0, 0.024971961975097656, 0])
singaglio,(0, (0.8333333333333334, 'giglio'), [1.3828277587890625e-05, 0.005825996398925781, 5.602836608886719e-05]),(0, (0.8518518518518517, 'sigal'), [0, 0.031104087829589844, 0])
tuffie,(0, (0.888888888888889, 'cuffie'), [1.5974044799804688e-05, 0.0020449161529541016, 4.601478576660156e-05]),(0, (0.888888888888889, 'cuffie'), [0, 0.024438858032226562, 0])
jackson grant,(0, (0.6985347985347986, 'castonguay'), [1.811981201171875e-05, 0.005583047866821289, 4.1961669921875e-05]),(0, (0.8461538461538461, 'jackson'), [0, 0.030545949935913086, 0])
litterar,(1, (0.9166666666666666, 'litteral'), [1.1920928955078125e-05, 0.01982402801513672, 4.601478576660156e-05]),(1, (0.9166666666666666, 'litteral'), [0, 0.027402877807617188, 0])
lowdell,(1, (0.9523809523809524, 'lowell'), [1.2874603271484375e-05, 0.0042111873626708984, 3.719329833984375e-05]),(1, (0.9523809523809524, 'lowell'), [0, 0.0290069580078125, 0])
odachowska,(0, (0.6888888888888888, 'kovach'), [1.1920928955078125e-05, 0.00380706787109375, 3.695487976074219e-05]),(0, (0.7999999999999999, 'grochowski'), [0, 0.02806401252746582, 0])
alexander bain,(0, (0.8809523809523809, 'alexandra'), [1.4066696166992188e-05, 0.026491880416870117, 4.792213439941406e-05]),(0, (0.8809523809523809, 'alexander'), [0, 0.029289960861206055, 0])
chintapatla,(0, (0.7597402597402597, 'catania'), [1.4781951904296875e-05, 0.02819204330444336, 4.792213439941406e-05]),(0, (0.8181818181818182, 'chapa'), [0, 0.02863907814025879, 0])
gatschet,(0, (0.8194444444444445, 'latsch'), [1.4066696166992188e-05, 0.02353811264038086, 5.4836273193359375e-05]),(0, (0.875, 'asche'), [0, 0.026141881942749023, 0])
kalkert,(0, (0.8690476190476191, 'kalter'), [1.6927719116210938e-05, 0.007451057434082031, 4.410743713378906e-05]),(1, (0.9047619047619048, 'kaler'), [0, 0.027281999588012695, 0])
sunsett,(0, (0.8492063492063493, 'sasnett'), [1.4066696166992188e-05, 0.008358001708984375, 4.100799560546875e-05]),(0, (0.8492063492063493, 'russett'), [0, 0.028003931045532227, 0])
garcia-arce,(0, (0.7515151515151515, 'graca'), [1.3828277587890625e-05, 0.03245806694030762, 5.078315734863281e-05]),(0, (0.8560606060606061, 'garciagarcia'), [0, 0.02819991111755371, 0])
