suffix,occurences,amInd,asian,black,hispanic,white
el,747433,0.146129493,0.772837683,0.006283434,0.00537733,0.053044512
vest,18479,0.05028225,0.911015877,0.007883549,0.003809048,0.014163391
bint,465,0,0.9462,0.0108,0.0151,0
von,11810,0,0.691098019,0.000590889,0.27026956,0.013042498
kil,123567,0.063337069,0.894670508,0.005277508,0.007447946,0.01470034
al,1981275,0.137051143,0.530100228,0.006041165,0.022370465,0.285325788
bath,2757,0.006166993,0.957547515,0.001825354,0,0.013048422
ap,103168,0.05116702,0.613837926,0.010360644,0.013598436,0.297966538
abdel,2236,0.116283229,0.678438327,0,0.009836315,0.029066011
ter,172256,0.20986219,0.633265881,0.00696407,0.010222042,0.12372085
naka,25452,0.000276556,0.057489411,0.020709264,0.822319146,0.023504589
le,2843992,0.138235264,0.632869925,0.007445186,0.124838412,0.078929739
,0,-1,-1,-1,-1,-1
la,2862416,0.091811499,0.77694293,0.00728842,0.040936418,0.066719867
abdul,10008,0.484317586,0.204931775,0.002727488,0.130086621,0.019891507
mic,189241,0.086744619,0.84453277,0.004847561,0.005602043,0.041055287
ny,34678,0.004717152,0.948538396,0.003435259,0.01489912,0.013153933
abu,3924,0.001783996,0.036691794,0,0,0.955138914
nord,29013,0.013753386,0.94794214,0.004675166,0.005241437,0.013929273
gil,609620,0.152643424,0.763895549,0.005895857,0.014025009,0.047399819
bin,71367,0.126030165,0.829249526,0.003991048,0.010624855,0.014303021
,0,-1,-1,-1,-1,-1
nin,12092,0.005615457,0.2267065,0.00182041,0.107270476,0.643729491
di,1320043,0.111514478,0.642726757,0.005855602,0.024069159,0.201025549
de,2277738,0.066535493,0.687620608,0.0061784,0.034380314,0.187448053
stor,71519,0.059697563,0.899310414,0.005397094,0.004412885,0.016821165
da,2694338,0.207484414,0.707989106,0.007553005,0.024625425,0.033673535
fitz,143989,0.077119713,0.885541398,0.003504555,0.004694246,0.016411097
mac,442126,0.124099381,0.670438443,0.003640375,0.013667784,0.172757459
das,29625,0.088278106,0.605628783,0.004350397,0.1574907,0.050274997
ben,733758,0.132289425,0.729447814,0.013698542,0.007313523,0.101958727
du,1380118,0.119597705,0.73898767,0.00634873,0.026501208,0.092648318
bar,1643682,0.110527515,0.70983789,0.006377975,0.008255417,0.149106344
mc,4175932,0.157080555,0.802776136,0.005805064,0.003882607,0.015247904
,0,-1,-1,-1,-1,-1
der,91648,0.063978647,0.867138391,0.004222808,0.0111216,0.034794952
,0,-1,-1,-1,-1,-1
pour,608,0.0296,0.9655,0,0,0
van,489372,0.042202255,0.83278834,0.006672098,0.076376597,0.023577816
na,614787,0.059978659,0.538663638,0.006415912,0.093511715,0.276883755
dos,43513,0.135031292,0.757217234,0.004192618,0.04790592,0.023079179
mala,15762,0.034957461,0.519750381,0.000569338,0.013263945,0.412314427
bet,104428,0.192760663,0.608353394,0.004353289,0.00384282,0.173473562
della,3506,0.010845009,0.910440958,0.002279692,0.023956532,0.031675813