suff,amInd,asian,black,hispanic,white,occurences
nwu,0.0,0.0,0.9422,0.0099,0.0083,606
alk,0.00325143063394,0.0160898444678,0.0471037767424,0.0152779662685,0.905571036225,30476
aub,0.00195739669637,0.00387855244646,0.0037961752905,0.0115766062217,0.968722033766,38382
aue,0.0,0.00369865361077,0.0,0.0152653610771,0.963901101591,1634
aug,0.006,0.0097,0.0021,0.013,0.96,4844
auf,0.000807981663745,0.0389621275448,0.00741801267359,0.00863816907105,0.921400296616,7417
auh,0.0,0.0065,0.0,0.0087,0.966,1381
auk,0.00304451636102,0.0145834951456,0.00719838187702,0.0117156778137,0.951096332255,5562
aum,0.00128332037929,0.00479663609513,0.00611285092492,0.016309085963,0.95845455464,64330
aun,0.00348281509074,0.00754567878802,0.00677741613101,0.0165882004225,0.954284711654,44027
aup,0.00169776271186,0.0111694915254,0.0,0.00339552542373,0.969144338983,2950
aus,0.00287687177314,0.00530494797797,0.00779772138788,0.0266687899189,0.945203954616,63723
aut,0.00216410070639,0.00762162651694,0.0545280565115,0.0130512950552,0.908159735555,5521
auw,0.0074,0.0,0.0,0.0089,0.9675,677
xto,0.0,0.0407,0.0,0.9159,0.0314,2579
auz,0.0,0.0,0.0111,0.919,0.0575,1531
alb,0.001926268465,0.0108876043674,0.00318253050739,0.0151299935774,0.95956987797,3114
fut,0.0,0.0,0.0,0.0,0.9918,486
fur,0.0158,0.0,0.0113,0.0475,0.9208,442
zdz,0.0,0.0,0.0,0.0,0.9981,522
upa,0.00193087849952,0.010488484347,0.0,0.0190226727348,0.950239304923,7251
upy,0.0,0.0124,0.0,0.0186,0.9588,485
upt,0.00172430317848,0.00564484107579,0.00537965770171,0.00871149144254,0.968561124694,8180
upu,0.0124,0.0,0.0,0.0297,0.9059,404
zda,0.0,0.0,0.0,0.0169,0.9755,1062
upp,0.0036958231699,0.00366583166607,0.00348953325842,0.0115123660482,0.966648567983,36487
rll,0.0,0.0,0.0154216383308,0.0201085007728,0.934284698609,1294
ucy,0.00296671770754,0.00523308542054,0.0512885267418,0.0128248277371,0.915467439571,9143
orz,0.0,0.0074,0.0,0.0159,0.9498,816
nen,0.00371297098758,0.0151812224011,0.0349356609302,0.0129935372044,0.915522535182,48462
nek,0.000925187708795,0.00218196010981,0.000660020507393,0.0126025766546,0.970763959911,30233
ned,0.00497232505643,0.00249819413093,0.00112611738149,0.0162804740406,0.960031038375,4430
nee,0.00736267264574,0.00339867264574,0.00485094170404,0.0143402690583,0.955523838565,5575
kus,0.0020422877118,0.00450456377142,0.0345849881051,0.0162560664174,0.928371622081,20597
nec,0.0,0.0,0.0,0.0530604698258,0.932331713244,2469
kun,0.0,0.011,0.014,0.011,0.9521,1002
gna,0.00105189037073,0.00475779395571,0.00215323014805,0.024915202496,0.954817282516,16346
nez,0.00523495393647,0.00910507999331,0.0049929311456,0.91739108342,0.0582880134718,1118781
mee,0.000732675309369,0.00439605185622,0.0275502799057,0.0125009575722,0.943294107248,6788
mea,0.0,0.0,0.0,0.9248,0.0664,1582
kel,0.00257484793244,0.0031776707156,0.0132650588739,0.0127145408211,0.954071403858,107518
mel,0.00280554567786,0.00412622762896,0.0164013440168,0.0152909135571,0.946155040356,85490
mek,0.000509433962264,0.00547471863621,0.00114912280702,0.0130607828534,0.964916443231,12084
met,0.00120704709522,0.0118794431076,0.0,0.0151196287384,0.950169009969,5818
mez,0.00347206445129,0.0100283219587,0.00748664347755,0.914113324378,0.0595895523802,295541
wda,0.0,0.0,0.0,0.0233,0.9464,429
aky,0.0,0.0079,0.0,0.0301,0.9572,631
gly,0.00566721683642,0.00396502638361,0.0133134617745,0.00885239906737,0.957393839735,16298
wds,0.0,0.0,0.0342,0.0196,0.9169,409
bri,0.0,0.0,0.00297886567164,0.0453459701493,0.936094208955,1675
bt,0.0,0.0,0.0,0.0284,0.9563,1305
tzy,0.0,0.00245971329708,0.0,0.0113979238754,0.974758774098,2023
dny,0.0,0.0,0.0,0.0,0.975892130115,953
nka,0.00148518910902,0.00403210085814,0.00307570717237,0.0112174276936,0.962809365399,9439
nke,0.00284093674959,0.00480547408668,0.00184903713893,0.0123193959387,0.966936524608,85786
nki,0.0,0.9323,0.0,0.0,0.0193,827
nkl,0.0,0.0104,0.0207,0.0186,0.942,483
nko,0.00110510362579,0.00407741978432,0.0042541472507,0.0214053920916,0.947543740292,22533
tza,0.0,0.0,0.0,0.0493,0.9366,426
err,0.0039291742326,0.0131416638873,0.037711144463,0.0153102266691,0.916021499599,80955
mm,0.00365961845857,0.00790637696293,0.0343590433351,0.0143333290494,0.927024095747,124495
ml,0.0,0.0,0.0,0.0,0.9867,600
erz,0.00433917050691,0.00634384657089,0.00258134995934,0.0453937516942,0.929831024668,7378
erf,0.0,0.00447966573816,0.0,0.0189306406685,0.963799721448,1795
erg,0.00213891582347,0.00490949585865,0.00554092617128,0.0149645847674,0.959525036578,405303
erl,0.000804402006797,0.00081071370772,0.0140797540055,0.00924162485839,0.956933241625,6179
ern,0.00288603381573,0.0199440478579,0.0410614930506,0.0161629388164,0.905803317811,139580
mz,0.0,0.0,0.0,0.00566027088036,0.983073137698,886
uay,0.00629017884207,0.00431686117005,0.0494086086693,0.0125016368597,0.912250848742,13196
uax,0.0254,0.0057,0.0026,0.0142,0.9404,5755
czy,0.0,0.0,0.0,0.0138,0.9677,651
yga,0.0,0.0084,0.0,0.0184,0.9648,597
iuk,0.0107,0.0107,0.0,0.0129,0.9335,466
cza,0.0,0.0,0.0,0.0175,0.9719,570
hof,0.00232130769231,0.00309507692308,0.0,0.0200320769231,0.9657705,2600
enf,0.0,0.0,0.0192,0.0192,0.9496,417
eni,0.0,0.00360519855596,0.0194807220217,0.0223572563177,0.92994700361,1385
hol,0.00234933780386,0.00269314333613,0.0268035205365,0.0134363285834,0.939639798826,5965
enk,0.00180440215216,0.00679353461692,0.00373208679799,0.0154163279826,0.960409680288,22489
hok,0.0,0.0,0.0,0.0195,0.9766,512
hot,0.00270684456304,0.0039010406938,0.00119419613075,0.0135757705137,0.96639778519,7495
fas,0.0,0.0,0.0,0.0226,0.9704,575
eny,0.00611101610658,0.00463704016703,0.0308091519189,0.013617359316,0.928047355339,20116
uco,0.0,0.0,0.0,0.9364,0.0482,519
lak,0.000563709677419,0.00347805750351,0.000881739130435,0.0127654908836,0.967101735624,28520
lad,0.00314882013634,0.00419921342423,0.00393602517042,0.00813418982695,0.96276622968,3814
lab,0.0,0.0,0.00538775510204,0.0,0.977443179377,931
lac,0.0,0.0150469541139,0.0,0.019759375,0.948164121835,2528
vou,0.0,0.0,0.0,0.0,0.9608,408
zec,0.0,0.0,0.0,0.0096,0.9713,941
fal,0.0,0.0,0.0,0.0147,0.9706,816
zek,0.0013167376966,0.00141805175038,0.000607874175545,0.00842410451547,0.972044469812,19710
fam,0.0,0.0079,0.0,0.0111,0.9699,632
zen,0.00324620883948,0.00612371330769,0.0271240495592,0.0161729938505,0.932756005574,33011
zeo,0.0,0.0035,0.0,0.0382,0.9499,2254
zel,0.00205085837399,0.00385959714559,0.0230871129907,0.0130396254161,0.945669249008,87724
loz,0.0037,0.0016,0.0032,0.9329,0.0559,3757
zer,0.00387223609875,0.00364531211475,0.0449346906725,0.0137177438547,0.919142480945,186566
piz,0.0,0.0,0.0,0.9421,0.0517,484
fis,0.0032,0.0035,0.0657,0.0122,0.9034,7895
cle,0.024556610636,0.00276825911727,0.00759120220191,0.0135928438022,0.930579337462,10173
imm,0.0035961040642,0.0100183510225,0.036585884028,0.0133176753818,0.92412423505,38630
fic,0.0,0.0,0.0,0.0368,0.9461,408
fia,0.0,0.00536243980738,0.00372391653291,0.0481322632424,0.921882878545,1869
fil,0.0,0.0,0.0,0.0286,0.9499,559
xa,0.0,0.0544442964679,0.00636965836711,0.0162041111754,0.903296699479,1727
rcq,0.0,0.0254,0.0,0.0148,0.947,472
dya,0.0019948969578,0.924421393523,0.00163866535819,0.00520098135427,0.0268529931305,3057
zac,0.0,0.0043,0.0,0.0122,0.9757,1397
zei,0.0,0.0039,0.0,0.037,0.9501,1785
zwa,0.0,0.0,0.0,0.0,0.9875,640
upi,0.00321036878675,0.00376162479957,0.0,0.0566577231427,0.916649225013,1871
uci,0.0,0.0,0.0,0.00616163349348,0.971846259437,1457
mde,0.0,0.0148,0.0,0.0277,0.9482,541
eum,0.0357,0.0179,0.0,0.0,0.9187,504
goo,0.0044,0.0,0.0,0.0169,0.9581,1599
goe,0.0,0.0,0.0,0.0243250169033,0.960792156863,1479
wgo,0.0,0.0,0.0,0.0181,0.9598,497
rx,0.0027,0.0043,0.0085,0.0139,0.9621,9404
rz,0.00144903524316,0.00439012354794,0.00135504774562,0.0214064801142,0.960009829691,40632
rf,0.00171418262559,0.00258567305024,0.0021614543436,0.013633791285,0.965524712739,36030
rg,0.00249612022228,0.00767138253977,0.0139960329027,0.0150188056893,0.947508873188,487863
goy,0.0,0.0147902439024,0.0,0.0235267421603,0.944250609756,1148
rb,0.00978970837642,0.00381792761117,0.0119156649431,0.0176003309204,0.936215582213,24175
rm,0.00581484045386,0.00485738336132,0.00592014500471,0.014567992463,0.95482362266,24413
ntz,0.00365119406108,0.00397520017244,0.0158150026309,0.0137344036668,0.951035060448,157739
ntu,0.00257213589808,0.00158285286035,0.0053421284037,0.908894823882,0.0774266100425,40030
nti,0.0196202254399,0.0034663077346,0.00229371563416,0.0343521238087,0.927360144795,43648
nth,0.0,0.0,0.0,0.0077,0.9816,652
isz,0.0,0.00218427586207,0.0,0.0124124689655,0.962466482759,3625
iss,0.00458637764775,0.00453939195548,0.044821763029,0.0159793690413,0.916312570754,146634
ist,0.00391124956564,0.00412583431788,0.0591695663354,0.0147927361179,0.903365580652,143890
isk,0.00680645126855,0.00354478525424,0.0217899476924,0.0174503931965,0.936647165783,28103
xum,0.0,0.0,0.9633,0.0132,0.0113,1063
atz,0.00129600381108,0.00511991697291,0.00328153259834,0.0190186157615,0.95981042058,73470
kic,0.0,0.0,0.0,0.0132,0.9253,455
kia,0.0,0.9396,0.0,0.0,0.0175,513
toy,0.0,0.0,0.0063,0.0208,0.9511,1104
top,0.0,0.0,0.0,0.0,0.9952,420
tov,0.0,0.0,0.0152,0.0,0.9167,396
tot,0.0,0.0092,0.0,0.0126,0.9553,872
tok,0.00495411184211,0.0,0.0,0.0172833881579,0.960494407895,1216
tof,0.0,0.0,0.0,0.0,0.9795,585
tog,0.0,0.0,0.0,0.00678269720102,0.974567430025,1179
ukh,0.0,0.9511,0.0,0.0,0.0204,491
gyi,0.0,0.00332290184922,0.0,0.0128009957326,0.963975343765,2109
iaw,0.0,0.9336,0.0,0.0,0.0355,422
epy,0.0065,0.0,0.0,0.0137,0.9555,1237
nze,0.00199161589524,0.00353565517869,0.00337096480858,0.0140067563881,0.965261216695,10997
nzi,0.0,0.00212355673524,0.00266,0.0586653085601,0.918652488388,7535
kta,0.002,0.922,0.0017,0.0089,0.0057,3502
nzl,0.0,0.0103,0.0,0.0155,0.9518,581
rad,0.00496197386909,0.00833562485582,0.0240740976868,0.0159658075205,0.928764486295,47683
rab,0.0,0.0,0.0,0.0140697674419,0.972511627907,1419
rac,0.0,0.0,0.0,0.0164,0.9719,427
ogt,0.00230651208148,0.00538186152346,0.0065351175642,0.0177637230469,0.956858251165,18458
bst,0.00190838052095,0.00439037372593,0.00133227140677,0.0131159781378,0.967994815107,20309
sud,0.0,0.0,0.0,0.0288,0.9539,694
tyr,0.0,0.0,0.0,0.0202,0.9622,397
tys,0.0,0.0,0.0566535211268,0.00735673606859,0.926801316595,3266
euf,0.00440101825168,0.00210197886647,0.0117255523535,0.014607857829,0.956965571566,5205
dol,0.0,0.00151032702238,0.0120361015491,0.0141708476764,0.953956841652,4648
doe,0.0,0.0,0.0197690842491,0.0138878388278,0.945033333333,1365
lpe,0.00180361830436,0.00484129123803,0.00355512593118,0.0226876197233,0.956126073076,8457
dov,0.0,0.0,0.0,0.0,0.900622098422,1077
dow,0.00287652357225,0.00564976044461,0.0530033250287,0.0150484572633,0.904855088156,10436
pue,0.0054,0.003,0.003,0.0132,0.9646,1666
suk,0.0,0.0,0.0,0.0,0.971,448
pka,0.000440484429066,0.00151733652737,0.00151286487446,0.0096690267057,0.971771777127,11271
pke,0.0,0.00453275935921,0.0,0.0105366401097,0.970969939176,11673
kup,0.0180892648775,0.00484175418125,0.0,0.00622524309607,0.955824329055,5142
pko,0.0,0.00295687300865,0.0,0.00979754210287,0.973151775148,4394
oci,0.0,0.0088,0.0,0.0228,0.9457,571
och,0.0026742259604,0.00702532342037,0.0517493028713,0.0146463753254,0.911994126173,101416
hrt,0.00230811808118,0.00922619926199,0.0,0.00460341328413,0.962182103321,2168
hrs,0.00113111782477,0.00226910876133,0.00226331193353,0.0115098564955,0.969580683535,5296
ocy,0.0,0.0,0.0,0.0,0.9804,459
kul,0.0,0.0,0.0081,0.0081,0.971,621
hre,0.00232358270774,0.00573150401243,0.00364027957546,0.00980885322288,0.963996893606,3863
kuk,0.0,0.0,0.0,0.0157,0.9654,636
dl,0.00149050048377,0.00377575864192,0.00194241358079,0.014769777465,0.96401404697,11369
dh,0.0,0.0,0.0,0.0136,0.9592,441
zyb,0.0,0.0,0.0,0.0099,0.9674,706
bei,0.0,0.0,0.0,0.0401,0.9499,399
dz,0.0,0.0,0.0,0.00862279792746,0.974977720207,1158
dt,0.00302736394946,0.00465162029915,0.00775784343891,0.0152423528332,0.958165113942,403012
eme,0.0,0.0119,0.0,0.0264,0.9466,1853
hje,0.0,0.0,0.0,0.0,0.9838,617
bau,0.0,0.0,0.0,0.0147,0.9779,679
emm,0.00145256874096,0.00454880607815,0.00397972141823,0.0133657380608,0.958745676556,5528
eml,0.0,0.0,0.0,0.0,0.9867,600
bak,0.0,0.00378166666667,0.0,0.00896141577061,0.970617293907,5580
emz,0.0,0.0,0.0,0.0118,0.9812,425
nur,0.0039,0.0044,0.0028,0.0205,0.9652,1808
nul,0.0,0.0,0.0,0.9078,0.0686,423
nuk,0.0,0.0,0.0,0.0,0.9794,873
igt,0.0037,0.0039,0.0083,0.0158,0.9598,7092
bts,0.0,0.0,0.0,0.0092,0.9771,655
irz,0.0118,0.0,0.0,0.0307,0.9338,423
mec,0.00567550027042,0.0,0.0,0.0162346133045,0.964839697134,3698
irr,0.0,0.00477904191617,0.0,0.022383992016,0.956098163673,2505
irs,0.00598683510638,0.0106399601064,0.0162955784574,0.015280518617,0.94249950133,3008
muz,0.0,0.0,0.0,0.9136,0.0707,509
irm,0.0,0.0,0.0,0.0115,0.9724,435
irn,0.00996677740864,0.00449145983975,0.037545202267,0.0169772132109,0.909931424663,5117
mun,0.0,0.0,0.0141,0.0,0.9593,639
ird,0.0194272442611,0.00643045094672,0.0373448517091,0.0171531490868,0.905253485255,95488
wd,0.00632219018326,0.00642289504037,0.0469519543765,0.0159173843394,0.911094508522,15606
wo,0.0,0.0,0.921028412017,0.0128612017167,0.0120515021459,1165
omi,0.0,0.00652801302932,0.0,0.0163121606949,0.968517698154,921
omm,0.00202459546926,0.00698787652477,0.00420492905153,0.00898620861339,0.963944012945,4017
wu,0.0,0.0,0.945774125874,0.00524423076923,0.0131438811189,1144
omp,0.00229204963235,0.0,0.00598345588235,0.0174716452206,0.954044898897,2176
eln,0.0,0.0089,0.0,0.0143,0.9714,559
omy,0.0,0.0,0.0180461876833,0.00834134897361,0.948159090909,2046
wy,0.0,0.0,0.00687184115523,0.0169693501805,0.957040577617,2770
cow,0.012,0.0,0.0,0.0219,0.9482,502
elm,0.00332894555139,0.00685217251923,0.0301333916946,0.0141294066877,0.932030686526,40552
ilk,0.00495761891719,0.00384898201406,0.0230672875011,0.00893023829088,0.942215867799,10953
ilt,0.00341500392773,0.00344051060487,0.0427411233307,0.01270572663,0.925992827965,12730
und,0.00377111515675,0.00707953077429,0.00794115341891,0.0180678299597,0.94841969164,97224
uni,0.0,0.0,0.0061,0.0399,0.942,1982
unk,0.00788247131771,0.00423238406416,0.0333627018899,0.0119439924999,0.926762105967,53866
col,0.00779981804949,0.00635371179039,0.0251501091703,0.0201768558952,0.923231804949,5496
anf,0.0,0.0,0.0,0.0129,0.979,618
kwo,0.0,0.0,0.921028412017,0.0128612017167,0.0120515021459,1165
sah,0.0,0.0,0.9234,0.0107,0.02,2153
kwu,0.0,0.0,0.9498,0.0,0.0186,538
sao,0.0,0.9389,0.0,0.0062,0.0252,2259
eag,0.0,0.0115,0.0,0.0,0.97,433
cam,0.0,0.9051,0.0,0.0,0.0368,706
fry,0.0106,0.0,0.0,0.0276,0.9469,471
gli,0.0038,0.0,0.0,0.0159,0.9659,1318
elp,0.00278530751708,0.0051727139603,0.00241239830784,0.00831438333876,0.971358688578,6146
gny,0.0,0.00683527803099,0.0,0.00685642661805,0.971307383774,2194
aio,0.00194903199231,0.0120635864342,0.00479553755321,0.029386145819,0.938220650831,7283
aie,0.0,0.0111,0.0,0.0166,0.939,721
gni,0.0,0.00468903467666,0.0,0.0140287722587,0.960623149016,1067
aia,0.000895472511678,0.00682477542221,0.00862288896874,0.0335901006109,0.916638070428,5566
aib,0.0,0.0078467189729,0.00427924393723,0.0135523537803,0.96935171184,1402
iu,0.000279433102256,0.942895880172,0.00104787413346,0.0126902712843,0.021515657106,68231
tze,0.00316966772538,0.00281235035426,0.00146877595895,0.021501160518,0.956892560469,8186
opp,0.00280561979361,0.00424876289942,0.0171660485604,0.0137783183247,0.951521580434,56301
dhi,0.00358418367347,0.911318686224,0.00152327806122,0.0104538903061,0.024465625,4704
nik,0.00140288248337,0.0142940297282,0.000495524349183,0.0142402151597,0.950928434754,24354
adl,0.0,0.0,0.0,0.0,0.979,476
nin,0.00313699602932,0.00458978313989,0.0280655365506,0.0167761224801,0.935649300041,39288
nil,0.0138,0.0138,0.0,0.0,0.9333,435
nim,0.0,0.0134,0.0,0.0201,0.9374,447
kis,0.0,0.0,0.0,0.0278863832614,0.919940385254,3011
nia,0.000873561811506,0.0122339837281,0.0123935488516,0.0495924256606,0.906956850745,13889
nig,0.00444383496636,0.0047715155068,0.00260421796053,0.015542439215,0.962573142953,35823
nip,0.0129,0.0,0.0,0.0112,0.9596,1163
rnd,0.00653210010881,0.0,0.0,0.0217464635473,0.961904678999,919
jka,0.0,0.00207265375212,0.00112123377845,0.0118510814369,0.970656234719,5317
rny,0.00273144506585,0.00308839978351,0.00110716218654,0.0144559263936,0.963541602021,5543
epp,0.00385190339415,0.00356281807516,0.0277257656054,0.0118260528339,0.940669052146,24719
epo,0.0,0.0,0.0025,0.9076,0.0826,5692
epf,0.0,0.0,0.0,0.00762062552832,0.975464666103,1183
yek,0.0,0.0044,0.0,0.0322,0.9313,1586
yel,0.0,0.00478231469441,0.0,0.0177788903338,0.959245513654,2307
yen,0.000432099999685,0.93834689748,0.0026972574831,0.012507011773,0.0259257300185,317081
yea,0.00494488398631,0.00236849562571,0.00617773868391,0.0162652624572,0.953711182959,10516
yee,0.0,0.0,0.0,0.0236,0.9568,509
yez,0.0,0.0,0.0,0.9567,0.0282,994
yer,0.00453899492347,0.00804256452536,0.0418766270468,0.0155310404214,0.917064103363,654975
yeu,0.00935974859588,0.0050526076491,0.0313210751538,0.0187565926718,0.91894953196,3739
hai,0.00106462695013,0.918683113734,0.0027307412497,0.00841789669388,0.0338767439981,12371
bny,0.0,0.0,0.0,0.0304,0.9658,526
hao,0.0,0.93081573039,0.000362374416301,0.0149744846941,0.0150046790246,42402
elb,0.0,0.0,0.0066,0.0216,0.9586,1666
elc,0.0,0.0,0.0044,0.0266,0.9557,1128
hae,0.0,0.9406,0.0045,0.005,0.0315,2002
elz,0.00170226274907,0.00608669368457,0.0152035460993,0.0130105876393,0.949852313408,5922
elt,0.0109594218851,0.00393069799718,0.0516659950707,0.0137729008638,0.905304579933,41791
ops,0.00751123424297,0.00455567253082,0.00414229117606,0.0144207507965,0.953307369442,7219
opy,0.0,0.0071,0.0,0.0095,0.9679,842
opf,0.0,0.00306465684085,0.00044728301325,0.0137750409409,0.969777303856,13434
lco,0.0,0.000594966208343,0.00362887438825,0.0390377883943,0.941852971335,8582
opo,0.0,0.0,0.0,0.032862687634,0.95494231594,1399
oph,0.0,0.0084,0.0433,0.0241,0.9182,831
lck,0.00649463601533,0.0107187739464,0.0,0.017616091954,0.941389846743,2610
rnt,0.0,0.0,0.0,0.0,0.9761,418
vde,0.0,0.0,0.0,0.0,0.9788,612
olb,0.0088,0.0044,0.0048,0.0136,0.9589,11644
olf,0.0079071027802,0.00418587459351,0.00986466243759,0.0135891002153,0.951884197087,87332
oli,0.00137552758124,0.00538945756378,0.00122233759074,0.0269182639591,0.947203307911,32649
olo,0.000160874348769,0.00708255832767,0.00229826877649,0.053076659224,0.920726974727,30903
olp,0.00550578553616,0.0,0.0,0.0154833915212,0.960102842893,2005
oly,0.00222481463174,0.00297281265447,0.0368316361839,0.0212642362827,0.916713643104,4046
olz,0.00366797829037,0.00450199651095,0.00224045911445,0.0143420458007,0.964513668208,36113
ici,0.0,0.0010972557629,0.0,0.0261412550311,0.946405451884,5466
ich,0.00335080017614,0.00496683487669,0.0227833925283,0.0157769486917,0.939219376509,311119
yko,0.0,0.0,0.0026,0.0092,0.9703,1956
cny,0.0122,0.0065,0.0,0.0168,0.9588,1069
icz,0.00103578443196,0.00210490334585,0.000414730712243,0.012751948589,0.969571234623,29021
umm,0.00306267741935,0.00617555913978,0.0140257419355,0.0159691989247,0.948864946237,18600
fon,0.0078,0.0046,0.0202,0.0372,0.917,1531
ict,0.0123,0.0081,0.0125,0.0202,0.9329,16846
hse,0.0028704,0.0051428,0.0025714,0.0145994,0.9616956,3500
chs,0.00221758050899,0.00444534555542,0.00365756844771,0.0163955735134,0.962882224098,41455
pla,0.0,0.0,0.0,0.00567733549959,0.969087489846,1231
zur,0.0019,0.0058,0.0018,0.0126,0.9671,8721
obl,0.00391361502347,0.0,0.0054627543036,0.00704874804382,0.967937949922,1278
cht,0.00196417527736,0.00421509685445,0.00155041509051,0.0124550661352,0.968728904009,78778
zub,0.0,0.0,0.0,0.00482188099808,0.976010364683,1042
zua,0.00153793103448,0.0,0.00184002463054,0.94335760468,0.0458375,3248
eps,0.00228178694158,0.00418327605956,0.011104696449,0.0130226804124,0.956085337915,2619
zum,0.0,0.0064,0.0,0.0128,0.953,1404
ppa,0.000564146940598,0.00413527244305,0.00190631978562,0.0683363220188,0.914258820902,8956
chu,0.0044,0.0029,0.0044,0.0152,0.9686,2036
ppe,0.00198403840482,0.00328460530196,0.0490805321624,0.0158822394075,0.909484330046,30517
ppi,0.00105378593129,0.00233929656462,0.00455299135312,0.0245448586118,0.952539319935,8558
ppo,0.00417506959911,0.00454243457684,0.00153321269488,0.0215865116927,0.955719425111,14368
ahl,0.00379936655859,0.00896679049194,0.00306291361577,0.0133547980503,0.958109717421,93142
ahm,0.00134774483378,0.0425826325247,0.00242287511231,0.0117569721473,0.927136909254,11130
sou,0.0,0.9074,0.0,0.0085,0.0442,702
sow,0.00138910315985,0.00185422862454,0.00326452137546,0.01068125,0.968416937732,4304
sov,0.0,0.00652885032538,0.0,0.0,0.913251843818,922
sox,0.0,0.0047,0.0,0.0119,0.9743,2528
ahy,0.00233176190707,0.00462812060009,0.00213421372044,0.0130922464437,0.965360387435,20597
wab,0.00258621359223,0.00451664607237,0.00221027360989,0.0138507149162,0.965274774934,16995
uyl,0.0,0.0,0.0,0.0316,0.9488,664
gid,0.0,0.0132,0.0121,0.0176,0.945,909
wax,0.0355,0.0,0.0,0.0184,0.9099,1410
gim,0.00838924485126,0.0,0.0,0.0,0.973311670481,1311
zco,0.0024083555808,0.00474198807157,0.00123381993752,0.949731511881,0.0391140547193,52815
kop,0.00205970072239,0.00311042311662,0.0,0.0144489164087,0.968530082559,3876
mtz,0.0,0.0,0.0153,0.0153,0.9457,589
azy,0.0,0.0,0.013,0.0,0.9696,460
azz,0.002,0.0052,0.9182,0.0229,0.018,3056
ckl,0.0,0.0,0.0,0.0136751578947,0.967378736842,950
azs,0.0,0.0093,0.0,0.0257,0.9444,972
mte,0.0,0.0,0.0,0.0066,0.9641,752
nno,0.0,0.0468017486462,0.0021463898917,0.0220951940433,0.907578756769,8864
nni,0.000488807461692,0.00368508105707,0.00244355762825,0.0234061114812,0.953764135021,22515
nh,0.000175417598316,0.957428263697,0.00100981630058,0.00617993774387,0.013986832683,68427
nk,0.009718003516,0.00564167307898,0.0392738349725,0.0138054691844,0.918495147801,356086
nl,0.0,0.0,0.0,0.0,0.9758,414
nf,0.0,0.0,0.00773565217391,0.0154382608696,0.967154782609,1035
tio,0.0,0.0,0.0,0.00496312127237,0.975119085487,1006
tik,0.0,0.0,0.0,0.0115,0.9752,524
cor,0.0062358778626,0.0033320610687,0.0033320610687,0.0231503816794,0.946797709924,4192
yka,0.00303906432749,0.0,0.00140364912281,0.0121799064327,0.972177169591,4275
sno,0.0,0.0,0.0,0.0217,0.9445,739
yke,0.00486119659248,0.00446498712276,0.0422944495807,0.0146687281252,0.920518183319,30286
